iter	RMSE
622	9403.567619
623	9384.571636
624	9374.349113
625	9366.573878
626	9365.30767
627	9354.79286
628	9337.071681
629	9317.868171
630	9309.02932
631	9300.544897
632	9286.164576
633	9269.515819
634	9258.207728
635	9248.521937
636	9236.661561
637	9229.870262
638	9214.750455
639	9198.384168
640	9197.021638
641	9183.314892
642	9170.524294
643	9169.470932
644	9154.032804
645	9139.541914
646	9128.862338
647	9118.83267
648	9109.350306
649	9098.332474
650	9084.952385
651	9066.653174
652	9049.240948
653	9036.320134
654	9021.651614
655	9012.891717
656	8995.902692
657	8981.777612
658	8968.065961
659	8957.942922
660	8948.638129
661	8942.467691
662	8927.988463
663	8915.046009
664	8905.017823
665	8893.46476
666	8885.389708
667	8867.608983
668	8862.395543
669	8848.320163
670	8834.039908
671	8827.834765
672	8814.430873
673	8812.965668
674	8800.99543
675	8794.068291
676	8783.734044
677	8770.525734
678	8757.749546
679	8742.009213
680	8729.416768
681	8722.514185
682	8707.724301
683	8702.233711
684	8701.008669
685	8692.821984
686	8690.873778
687	8690.107888
688	8682.193279
689	8672.076414
690	8659.149557
691	8651.825379
692	8637.714858
693	8630.472636
694	8618.002677
695	8604.383785
696	8592.219228
697	8583.27678
698	8570.301935
699	8564.495303
700	8552.88295
701	8547.174095
702	8529.313365
703	8523.808722
704	8522.92988
705	8521.919643
706	8513.615313
707	8509.727811
708	8503.765091
709	8490.826591
710	8483.476919
711	8480.2015
712	8475.537662
713	8469.824609
714	8461.988233
715	8451.963502
716	8443.129076
717	8437.692262
718	8430.840363
719	8419.769057
720	8409.497129
721	8405.950189
722	8391.225077
723	8390.513449
724	8384.676794
725	8377.468178
726	8366.700153
727	8358.979
728	8350.994591
729	8341.031796
730	8337.6834
731	8336.541286
732	8324.310002
733	8319.755481
734	8316.018444
735	8310.536088
736	8309.941083
737	8301.072317
738	8290.754317
739	8284.950794
740	8276.88511
741	8268.261629
742	8258.643187
743	8258.012794
744	8256.981849
745	8244.760673
746	8232.232945
747	8224.628235
748	8213.619178
749	8202.432154
750	8192.364771
751	8186.249274
752	8173.397891
753	8161.726645
754	8146.484289
755	8136.292723
756	8128.849892
757	8117.450758
758	8106.568584
759	8097.250083
760	8096.654509
761	8095.655215
762	8087.033659
763	8086.341926
764	8070.777346
765	8069.767643
766	8068.966943
767	8061.525825
768	8046.628031
769	8041.289878
770	8029.624969
771	8021.777658
772	8013.96181
773	8004.653939
774	7996.726611
775	7982.751522
776	7976.949598
777	7969.110971
778	7952.593661
779	7948.117378
780	7935.030742
781	7930.645972
782	7929.950962
783	7919.866009
784	7913.200107
785	7912.402946
786	7899.846602
787	7894.89519
788	7885.102071
789	7883.207038
790	7877.31053
791	7866.235846
792	7857.36475
793	7845.477044
794	7836.410237
795	7823.822355
796	7816.916793
797	7801.950212
798	7788.199038
799	7779.559193
800	7772.540088
801	7760.080086
802	7746.309769
803	7736.573
804	7719.707453
805	7714.52577
806	7700.099511
807	7687.741294
808	7679.712481
809	7671.123095
810	7657.422932
811	7647.390071
812	7645.274882
813	7637.377458
814	7629.183443
815	7615.497457
816	7600.654359
817	7591.160275
818	7582.372498
819	7581.864631
820	7576.699432
821	7563.628868
822	7556.672219
823	7544.706333
824	7531.364479
825	7523.908197
826	7516.392802
827	7506.137853
828	7493.736494
829	7485.433497
830	7478.201448
831	7472.857699
832	7464.65786
833	7454.84427
834	7448.831662
835	7448.340911
836	7435.296479
837	7434.48764
838	7424.06707
839	7415.740304
840	7415.092264
841	7402.106293
842	7396.501485
843	7387.045465
844	7372.263989
845	7360.134063
846	7341.922343
847	7334.408732
848	7331.33377
849	7321.094298
850	7315.810542
851	7308.187414
852	7307.425621
853	7304.822531
854	7301.763955
855	7296.281085
856	7287.427487
857	7280.654853
858	7273.016487
859	7265.317732
860	7256.509847
861	7247.82153
862	7240.454858
863	7231.753813
864	7224.958291
865	7218.912916
866	7216.013574
867	7205.183947
868	7196.101163
869	7186.153323
870	7174.428415
871	7164.597504
872	7152.77695
873	7146.507804
874	7139.807284
875	7132.729112
876	7125.787925
877	7118.772503
878	7106.046472
879	7104.851879
880	7097.735116
881	7089.034664
882	7081.474441
883	7076.61732
884	7069.390118
885	7063.637369
886	7056.522695
887	7051.815887
888	7050.136004
889	7043.318558
890	7037.940643
891	7030.748448
892	7018.362078
893	7009.68678
894	7002.822721
895	6995.500441
896	6994.78124
897	6991.3043
898	6984.305529
899	6972.665662
900	6962.457553
901	6948.87587
902	6942.879625
903	6935.943684
904	6927.580321
905	6919.866544
906	6916.350942
907	6912.112392
908	6906.043468
909	6899.775031
910	6891.797714
911	6886.096367
912	6883.956917
913	6879.344064
914	6873.531662
915	6858.422115
916	6854.142273
917	6844.179817
918	6840.002331
919	6830.969041
920	6819.853308
921	6814.702914
922	6806.07619
923	6797.771542
924	6789.336038
925	6781.020107
926	6774.070527
927	6766.665894
928	6761.171117
929	6753.786209
930	6747.186296
931	6738.375944
932	6730.190032
933	6720.74966
934	6712.642307
935	6706.517026
936	6689.205261
937	6688.546963
938	6683.706726
939	6677.954837
940	6671.501826
941	6664.15268
942	6656.668834
943	6643.609826
944	6635.231455
945	6630.54823
946	6621.618942
947	6607.523401
948	6595.379666
949	6588.557376
950	6581.171712
951	6572.742273
952	6567.12134
953	6558.225893
954	6555.929205
955	6552.380155
956	6545.040889
957	6544.492116
958	6538.240381
959	6528.932399
960	6522.141596
961	6516.519066
962	6507.463339
963	6503.120648
964	6500.361115
965	6498.229272
966	6492.90884
967	6488.738574
968	6485.479998
969	6480.410559
970	6470.940576
971	6461.776276
972	6451.281854
973	6446.109787
974	6439.378943
975	6434.641203
976	6434.035757
977	6428.927533
978	6421.668791
979	6418.933975
980	6409.508866
981	6401.448681
982	6394.811233
983	6394.198449
984	6386.618224
985	6378.287221
986	6367.732137
987	6361.607345
988	6353.63802
989	6346.748106
990	6337.060549
991	6330.509859
992	6323.074556
993	6315.297928
994	6310.347264
995	6304.27137
996	6297.895462
997	6290.993685
998	6284.821987
999	6275.762452
