iter	Passed	Remaining
553	3734	3006
554	3740	2999
555	3747	2992
556	3755	2986
557	3761	2979
558	3767	2972
559	3773	2964
560	3779	2957
561	3785	2950
562	3794	2945
563	3801	2938
564	3807	2931
565	3813	2924
566	3819	2916
567	3826	2909
568	3832	2902
569	3838	2895
570	3844	2888
571	3850	2881
572	3856	2873
573	3862	2866
574	3868	2859
575	3874	2852
576	3880	2844
577	3886	2837
578	3894	2832
579	3900	2824
580	3907	2817
581	3913	2810
582	3919	2803
583	3925	2796
584	3931	2789
585	3938	2782
586	3944	2775
587	3950	2768
588	3956	2761
589	3963	2753
590	3981	2755
591	3987	2748
592	3994	2741
593	4000	2734
594	4006	2727
595	4013	2720
596	4020	2713
597	4026	2706
598	4032	2699
599	4039	2692
600	4045	2685
601	4051	2678
602	4058	2671
603	4064	2664
604	4070	2657
605	4076	2650
606	4082	2643
607	4088	2636
608	4094	2628
609	4100	2621
610	4106	2614
611	4112	2607
612	4118	2600
613	4124	2592
614	4130	2585
615	4136	2578
616	4142	2571
617	4149	2564
618	4156	2558
619	4162	2551
620	4169	2544
621	4175	2537
622	4181	2530
623	4187	2523
624	4193	2516
625	4199	2509
626	4206	2502
627	4214	2496
628	4222	2490
629	4229	2483
630	4235	2476
631	4242	2470
632	4248	2463
633	4254	2456
634	4261	2449
635	4267	2442
636	4274	2435
637	4280	2428
638	4286	2421
639	4297	2417
640	4303	2410
641	4310	2403
642	4317	2396
643	4323	2389
644	4331	2384
645	4343	2380
646	4349	2373
647	4356	2366
648	4362	2359
649	4368	2352
650	4374	2345
651	4383	2339
652	4389	2332
653	4396	2325
654	4402	2318
655	4409	2312
656	4415	2305
657	4421	2298
658	4427	2291
659	4433	2284
660	4439	2277
661	4448	2271
662	4460	2267
663	4466	2260
664	4472	2253
665	4479	2246
666	4485	2239
667	4491	2232
668	4497	2225
669	4503	2218
670	4518	2215
671	4524	2208
672	4531	2201
673	4537	2194
674	4543	2187
675	4549	2180
676	4555	2173
677	4561	2166
678	4567	2159
679	4573	2152
680	4579	2145
681	4585	2138
682	4591	2131
683	4597	2124
684	4603	2116
685	4609	2109
686	4615	2102
687	4621	2095
688	4627	2088
689	4633	2081
690	4639	2074
691	4645	2067
692	4651	2060
693	4657	2053
694	4664	2046
695	4669	2039
696	4676	2032
697	4683	2026
698	4691	2020
699	4702	2015
700	4709	2008
701	4715	2001
702	4722	1994
703	4728	1988
704	4734	1981
705	4740	1974
706	4749	1968
707	4755	1961
708	4761	1954
709	4767	1947
710	4773	1940
711	4779	1933
712	4785	1926
713	4792	1919
714	4798	1912
715	4804	1905
716	4810	1898
717	4816	1891
718	4822	1884
719	4829	1877
720	4835	1871
721	4841	1864
722	4847	1857
723	4853	1850
724	4859	1843
725	4865	1836
726	4872	1829
727	4882	1824
728	4889	1817
729	4896	1810
730	4906	1805
731	4912	1798
732	4919	1791
733	4925	1784
734	4931	1778
735	4938	1771
736	4943	1764
737	4949	1757
738	4956	1750
739	4962	1743
740	4968	1736
741	4975	1729
742	4981	1723
743	4987	1716
744	4993	1709
745	4999	1702
746	5005	1695
747	5011	1688
748	5017	1681
749	5023	1674
750	5030	1667
751	5036	1660
752	5042	1654
753	5048	1647
754	5054	1640
755	5064	1634
756	5071	1627
757	5077	1621
758	5083	1614
759	5089	1607
760	5095	1600
761	5101	1593
762	5107	1586
763	5114	1579
764	5122	1573
765	5128	1566
766	5134	1559
767	5146	1554
768	5152	1547
769	5158	1540
770	5164	1533
771	5171	1527
772	5177	1520
773	5183	1513
774	5189	1506
775	5195	1499
776	5202	1492
777	5208	1486
778	5213	1479
779	5219	1472
780	5225	1465
781	5231	1458
782	5238	1451
783	5246	1445
784	5252	1438
785	5258	1431
786	5264	1424
787	5269	1417
788	5276	1410
789	5281	1404
790	5288	1397
791	5294	1390
792	5300	1383
793	5306	1376
794	5313	1370
795	5326	1365
796	5336	1359
797	5342	1352
798	5348	1345
799	5354	1338
800	5361	1331
801	5367	1325
802	5373	1318
803	5379	1311
804	5385	1304
805	5391	1297
806	5397	1290
807	5403	1284
808	5409	1277
809	5420	1271
810	5432	1265
811	5438	1259
812	5444	1252
813	5450	1245
814	5457	1238
815	5463	1231
816	5469	1225
817	5475	1218
818	5481	1211
819	5487	1204
820	5493	1197
821	5500	1191
822	5506	1184
823	5512	1177
824	5519	1170
825	5525	1163
826	5531	1157
827	5538	1150
828	5544	1143
829	5554	1137
830	5562	1131
831	5568	1124
832	5575	1117
833	5581	1110
834	5587	1104
835	5594	1097
836	5607	1091
837	5616	1085
838	5622	1078
839	5628	1072
840	5634	1065
841	5640	1058
842	5647	1051
843	5653	1044
844	5659	1038
845	5665	1031
846	5671	1024
847	5677	1017
848	5683	1010
849	5690	1004
850	5696	997
851	5702	990
852	5708	983
853	5714	976
854	5720	970
855	5726	963
856	5733	956
857	5739	949
858	5745	943
859	5751	936
860	5758	929
861	5764	922
862	5770	916
863	5776	909
864	5790	903
865	5797	897
866	5803	890
867	5809	883
868	5815	876
869	5821	869
870	5827	863
871	5833	856
872	5839	849
873	5845	842
874	5851	835
875	5857	829
876	5863	822
877	5869	815
878	5875	808
879	5881	802
880	5887	795
881	5893	788
882	5899	781
883	5905	774
884	5912	768
885	5918	761
886	5924	754
887	5930	747
888	5936	741
889	5942	734
890	5948	727
891	5954	720
892	5960	714
893	5966	707
894	5979	701
895	5987	694
896	5995	688
897	6003	681
898	6009	675
899	6017	668
900	6023	661
901	6031	655
902	6037	648
903	6044	641
904	6050	635
905	6057	628
906	6062	621
907	6068	614
908	6074	608
909	6080	601
910	6086	594
911	6092	587
912	6098	581
913	6104	574
914	6110	567
915	6116	560
916	6122	554
917	6128	547
918	6134	540
919	6140	533
920	6146	527
921	6152	520
922	6163	514
923	6169	507
924	6175	500
925	6182	494
926	6188	487
927	6204	481
928	6212	474
929	6219	468
930	6225	461
931	6232	454
932	6239	448
933	6245	441
934	6251	434
935	6257	427
936	6263	421
937	6269	414
938	6276	407
939	6282	401
940	6288	394
941	6295	387
942	6301	380
943	6307	374
944	6313	367
945	6320	360
946	6329	354
947	6335	347
948	6349	341
949	6356	334
950	6362	327
951	6369	321
952	6375	314
953	6382	307
954	6388	301
955	6394	294
956	6400	287
957	6407	280
958	6413	274
959	6419	267
960	6425	260
961	6432	254
962	6438	247
963	6444	240
964	6451	233
965	6457	227
966	6463	220
967	6471	213
968	6477	207
969	6483	200
970	6489	193
971	6495	187
972	6501	180
973	6507	173
974	6513	167
975	6519	160
976	6525	153
977	6540	147
978	6546	140
979	6552	133
980	6561	127
981	6567	120
982	6573	113
983	6579	106
984	6586	100
985	6592	93
986	6598	86
987	6606	80
988	6612	73
989	6618	66
990	6624	60
991	6630	53
992	6637	46
993	6643	40
994	6649	33
995	6655	26
996	6661	20
997	6667	13
998	6674	6
999	6679	0
